"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"62";"Kloten";4;"bew_mie_z4_ic";0.1;"A"
"62";"Kloten";4;"bew_mie_z5_t";873;"A"
"62";"Kloten";4;"bew_mie_z5_ic";0.3;"A"
"62";"Kloten";4;"bew_mie_z6_t";120;"U"
"62";"Kloten";4;"bew_mie_z6_ic";0.8;"U"
"355";"Köniz";4;"bew_mie_t";20750;"A"
"355";"Köniz";4;"bew_mie_t_ic";0.05;"A"
"355";"Köniz";4;"bew_mie_z1_t";731;"A"
"355";"Köniz";4;"bew_mie_z1_ic";0.3;"A"
"355";"Köniz";4;"bew_mie_z2_t";2419;"A"
"355";"Köniz";4;"bew_mie_z2_ic";0.1;"A"
"355";"Köniz";4;"bew_mie_z3_t";7992;"A"
"355";"Köniz";4;"bew_mie_z3_ic";0.1;"A"
"355";"Köniz";4;"bew_mie_z4_t";7496;"A"
"355";"Köniz";4;"bew_mie_z4_ic";0.1;"A"
"355";"Köniz";4;"bew_mie_z5_t";1704;"A"
"355";"Köniz";4;"bew_mie_z5_ic";0.2;"A"
"355";"Köniz";4;"bew_mie_z6_t";407;"U"
"355";"Köniz";4;"bew_mie_z6_ic";0.4;"U"
"4671";"Kreuzlingen";4;"bew_mie_t";12102;"A"
"4671";"Kreuzlingen";4;"bew_mie_t_ic";0.05;"A"
"4671";"Kreuzlingen";4;"bew_mie_z1_t";502;"A"
"4671";"Kreuzlingen";4;"bew_mie_z1_ic";0.2;"A"
"4671";"Kreuzlingen";4;"bew_mie_z2_t";1571;"A"
"4671";"Kreuzlingen";4;"bew_mie_z2_ic";0.1;"A"
"4671";"Kreuzlingen";4;"bew_mie_z3_t";3997;"A"
"4671";"Kreuzlingen";4;"bew_mie_z3_ic";0.1;"A"
"4671";"Kreuzlingen";4;"bew_mie_z4_t";4839;"A"
"4671";"Kreuzlingen";4;"bew_mie_z4_ic";0.1;"A"
"4671";"Kreuzlingen";4;"bew_mie_z5_t";976;"A"
"4671";"Kreuzlingen";4;"bew_mie_z5_ic";0.2;"A"
"4671";"Kreuzlingen";4;"bew_mie_z6_t";216;"U"
"4671";"Kreuzlingen";4;"bew_mie_z6_ic";0.4;"U"
"1059";"Kriens";4;"bew_mie_t";14665;"A"
"1059";"Kriens";4;"bew_mie_t_ic";0.04;"A"
"1059";"Kriens";4;"bew_mie_z1_t";294;"U"
"1059";"Kriens";4;"bew_mie_z1_ic";0.3;"U"
"1059";"Kriens";4;"bew_mie_z2_t";1479;"A"
"1059";"Kriens";4;"bew_mie_z2_ic";0.1;"A"
"1059";"Kriens";4;"bew_mie_z3_t";4452;"A"
"1059";"Kriens";4;"bew_mie_z3_ic";0.1;"A"
"1059";"Kriens";4;"bew_mie_z4_t";6939;"A"
"1059";"Kriens";4;"bew_mie_z4_ic";0.1;"A"
"1059";"Kriens";4;"bew_mie_z5_t";1317;"A"
"1059";"Kriens";4;"bew_mie_z5_ic";0.2;"A"
